customer_id,age,gender,income,credit_score,purchase_amount,payment_method,city,membership_duration_months,churn,last_purchase_days_ago,satisfaction_score,purchase_frequency,avg_monthly_spend,product_category,num_complaints,marketing_emails_opened,device_type,subscription_type,has_promo_code,days_since_account_creation
1,34,Male,75000,720,450.50,Credit Card,New York,24,No,15,8,12,425.75,Electronics,0,8,Mobile,Premium,Yes,540
2,28,Female,52000,680,320.75,PayPal,Los Angeles,18,No,5,9,8,280.50,Fashion,1,12,Desktop,Basic,No,365
3,45,Female,92000,780,890.00,Credit Card,Chicago,36,Yes,120,4,4,320.25,Home & Kitchen,3,2,Tablet,Premium,Yes,720
4,52,Male,110000,810,1250.25,Debit Card,Houston,48,No,2,10,15,980.75,Electronics,0,15,Mobile,Premium,Yes,1080
5,23,Male,35000,650,150.00,PayPal,New York,6,No,30,7,6,125.30,Fashion,0,4,Mobile,Basic,No,120
6,41,Female,68000,710,540.80,Credit Card,Los Angeles,30,No,8,8,10,420.60,Beauty,1,10,Desktop,Premium,Yes,600
7,37,Male,82000,740,720.90,Debit Card,Chicago,28,Yes,95,5,5,310.45,Electronics,2,3,Tablet,Basic,No,560
8,29,Female,48000,660,280.45,PayPal,Houston,12,No,12,8,9,245.80,Fashion,0,9,Mobile,Basic,No,300
9,56,Male,125000,830,1560.75,Credit Card,New York,60,No,1,9,18,1200.25,Electronics,1,20,Desktop,Premium,Yes,1560
10,31,Female,59000,690,380.20,Debit Card,Los Angeles,20,No,25,7,7,320.15,Beauty,0,6,Mobile,Basic,Yes,450
11,48,Female,95000,790,980.60,Credit Card,Chicago,42,Yes,110,3,3,280.90,Home & Kitchen,4,1,Desktop,Basic,No,900
12,26,Male,42000,640,210.30,PayPal,Houston,9,No,18,6,5,180.45,Fashion,1,3,Mobile,Basic,No,180
13,39,Male,77000,730,610.45,Credit Card,New York,32,No,7,9,11,495.80,Electronics,0,12,Desktop,Premium,Yes,720
14,44,Female,88000,760,820.15,Debit Card,Los Angeles,38,No,3,8,13,680.40,Beauty,0,14,Tablet,Premium,Yes,840
15,50,Male,105000,800,1320.90,Credit Card,Chicago,52,Yes,130,2,2,245.75,Home & Kitchen,5,0,Desktop,Basic,No,1120
16,27,Female,46000,670,260.80,PayPal,Houston,14,No,20,7,8,220.60,Fashion,0,8,Mobile,Basic,Yes,320
17,33,Male,71000,715,490.25,Debit Card,New York,26,No,10,8,9,410.35,Electronics,1,10,Desktop,Premium,No,520
18,42,Female,83000,750,710.40,Credit Card,Los Angeles,34,No,6,9,12,590.20,Beauty,0,13,Mobile,Premium,Yes,680
